userID;password;admin;email
andy;tonno;0;andy.bernard@dundermifflin.us
angela;cats;0;angela.martin@dundermifflin.us
clark;ciao;0;clark.green@dundermifflin.us
creed;ladro;0;creed.bratton@dundermifflin.us
darryl;miamiheat;0;darryl.philbin@dundermifflin.us
dwight;barbabietole;0;dwight.schrute@dundermifflin.us
erin;a1b2c3;0;erin.hannon@dundermifflin.us
gabe;13579;0;gabe.lewis@dundermifflin.us
holly;abcde;0;holly.flax@dundermifflin.us
jan;pazza;0;jan.levinson@dundermifflin.us
jim;ilovepam;0;jim.halpert@dundermifflin.us
karen;12345;0;karen.filippelli@dundermifflin.us
kelly;india;0;kelly.kapoor@dundermifflin.us
kevin;chili;0;kevin.malone@dundermifflin.us
meredith;alcol;0;meredith.palmer@dundermifflin.us
michael;thatswhatshesaid;1;michaelscott@dundermifflin.us
oscar;mexico;0;oscar.martinez@dundermifflin.us
pam;pampam;0;pam.beesly@dundermifflin.us
pete;11111;0;pete.miller@dundermifflin.us
phyllis;bobvance;0;phillis.lapin-vance@dundermifflin.us
robert;246810;0;robert.california@dundermifflin.us
ryan;stagista;0;ryan.howard@dundermifflin.us
stanley;cruciverba;0;stanley.hudson@dundermifflin.us
toby;risorseumane;0;toby.flenderson@dundermifflin.us
